time,open,high,low,close,EQ,BUY Strong,BUY Medium,BUY Weak,EMA 200
1731625200,20980,20981,20405.25,20503.75,20343.875,0,0,0,19030.802037526333
1731884400,20504.75,20724.5,20476.25,20630.75,20343.875,0,0,0,19046.72191774995
1731970800,20634.25,20792.5,20382,20754.75,20343.875,0,0,0,19063.717222050946
1732057200,20766,20843.5,20477.25,20739.25,20343.875,0,0,0,19080.389189990736
1732143600,20739.25,20907,20514,20794,20674.125,0,0,0,19097.440043821673
1732230000,20804,20880.5,20693,20878.5,20674.125,0,0,0,19115.162033435387
1732489200,20909,21081.25,20780.25,20901.5,20674.125,0,0,0,19132.936540565384
1732575600,20910,21025,20755.25,21001,20674.125,0,0,0,19151.52423667916
1732662000,20998.25,21019.25,20675,20806.5,20674.125,0,0,0,19167.991657209717
1732748400,20814.75,21018,20805.75,20991.5,20674.125,0,0,0,19186.136018829522
1733094000,20994.5,21259.5,20939.75,21211,20861.25,0,0,0,19206.283919139678
1733180400,21215,21328.75,21134.75,21324,20861.25,0,0,0,19227.355720939282
1733266800,21321.25,21550,21305.5,21517.75,20861.25,0,0,0,19250.145713765756
1733353200,21511,21567.75,21437.25,21453,20861.25,0,0,0,19272.06466188749
1733439600,21449.25,21669.5,21424,21634,20861.25,0,0,0,19295.566506047813
1733698800,21648.75,21706.5,21437,21473,20861.25,0,0,0,19317.23251096276
1733785200,21480,21606.75,21352.75,21434.75,20861.25,0,0,0,19338.302336724326
1733871600,21438.25,21819.75,21405.75,21755.25,20861.25,0,0,0,19362.35156720468
1733958000,21756.75,21772.75,21602.25,21631.75,20861.25,0,0,0,19384.932646137968
1734044400,21700.5,21908,21666.75,21760.5,20861.25,0,0,0,19408.570132246048
1734303600,21785.25,22152.5,21762.25,22111,20861.25,0,0,0,19435.459981676435
1734390000,22410.5,22426.5,22244.25,22304,20861.25,0,0,0,19464.002668425925
1734476400,22306,22387.5,21310.25,21459.5,20861.25,0,0,0,19483.858363267456
1734562800,21499,21698,21345,21408.5,20861.25,0,0,0,19503.00902631952
1734649200,21429.75,21812.5,21007,21553,20861.25,0,0,0,19523.406946455645
1734908400,21566.5,21777,21476,21738.75,20861.25,0,0,0,19545.450160918772
1734994800,21738.75,22050,21708.5,22046.25,20861.25,0,0,0,19570.333741407143
1735167600,22050,22111,21870.5,21984,20861.25,0,0,0,19594.350321094633
1735254000,21984,22008.75,21498.25,21720.25,20861.25,0,0,0,19615.503551730508
1735513200,21710.75,21742.5,21252.75,21389,21404.25,0,0,0,19633.15028255906
1735599600,21391.25,21524.75,21181.75,21235,21404.25,0,0,0,19649.08908571768
1735772400,21273.25,21490.75,20983.25,21183,21404.25,0,0,0,19664.351880884667
1735858800,21191.5,21559.25,21144.25,21490.25,21404.25,0,0,0,19682.520021373377
1736118000,21532,21897,21478.75,21781,21404.25,0,0,0,19703.400419170655
1736204400,21781,21806.25,21279.5,21375.25,21404.25,0,0,0,19720.03573838289
1736290800,21386.25,21448.25,21166,21326.5,21404.25,0,0,0,19736.020457403956
1736377200,21348.75,21348.75,21217.5,21301.75,21404.25,0,0,0,19751.599855837747
1736463600,21302,21372.5,20874.75,20996.25,21404.25,0,0,0,19763.984434386624
1736722800,21027.5,21037,20693.5,20992.5,21404.25,0,0,0,19776.208469865363
1736809200,21020,21143.75,20773.25,20976.75,21404.25,0,0,0,19788.154156732373
1736895600,20975.75,21452.75,20908.75,21375.75,21404.25,0,0,0,19803.951130297224
1736982000,21386.25,21566.75,21171.75,21214,21404.25,0,0,0,19817.981467309193
1737068400,21225,21680,21208.75,21590.25,21404.25,0,0,0,19835.615980072285
1737327600,21601,21785,21370.25,21773.25,21404.25,0,0,0,19854.895920569077
1737500400,21800,22094,21769,21985.25,21404.25,0,0,0,19876.09347359824
1737586800,21982.5,22051.25,21855.5,22021.75,21404.25,0,0,0,19897.443289781342
1737673200,22018,22078,21843.25,21908.5,21560,0,0,0,19917.45380431088
1737932400,21773.75,21774,20763.75,21303.75,21560,0,0,0,19931.247796307787
1738018800,21340,21626,21160.75,21558,21560,0,0,0,19947.43438539925
1738105200,21558,21697.25,21368,21574.5,21560,0,0,0,19963.62409300722
1738191600,21555.75,21748.75,21419,21607,21560,0,0,0,19979.976092081775
1738278000,21684,21965.75,21531.5,21571.25,21560,0,0,0,19995.80966330484
1738537200,21280.25,21577.75,20940.25,21554.25,21393.75,0,0,0,20011.316532326684
1738623600,21592.25,21694.75,21240.75,21584.5,21393.75,0,0,0,20026.970099169204
1738710000,21566,21795.5,21429,21771.25,21393.75,0,0,0,20044.326118082943
1738796400,21768,21882,21706,21844.25,21428.875,0,0,0,20062.235808450278
1738882800,21819.75,21967.75,21553,21575.5,21428.875,0,0,0,20077.293163590075
1739142000,21464.75,21893.75,21415,21837,21428.875,0,0,0,20094.802684350372
1739228400,21832,21871.25,21669.5,21792.25,21428.875,0,0,0,20111.692707391663
1739314800,21802,21862.75,21510,21859,21428.875,0,0,0,20129.07884960667
1739401200,21865,22123.75,21752.75,22074.25,21428.875,0,0,0,20148.433786426504
1739487600,22072.5,22224,22042.5,22203,21428.875,0,0,0,20168.877231337683
1739746800,22238,22320,22103,22225,21428.875,0,0,0,20189.3361643592
1739919600,22227,22299.75,22118,22222.25,21428.875,0,0,0,20209.564162723786
1740006000,22215,22235,21950.75,22137.5,21428.875,0,0,0,20228.74760389071
