time,open,high,low,close,Swing High,Swing Low,EQ (0.5),Fib 0.79 ENTRY,BUY Strong,BUY Medium,BUY Weak,EMA 200
1768995000,3.17192,3.175075,3.17151,3.175075,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.159763997994145
1768996800,3.175075,3.1752,3.1733,3.174365,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.1599092815961933
1768998600,3.174365,3.175475,3.171345,3.172955,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.1600390897395148
1769000400,3.172955,3.175055,3.170685,3.174495,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.160182929642604
1769002200,3.174495,3.175165,3.17207,3.172605,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.1603065323327275
1769004000,3.172605,3.17313,3.163195,3.165585,3.17501,3.1584,3.166705,3.16474502,0,0,0,3.1603590543990685
1769005800,3.165585,3.16599,3.158105,3.159475,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1603502578378837
1769007600,3.159475,3.160475,3.15546,3.158765,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.160334484128054
1769009400,3.158765,3.159525,3.15153,3.152065,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1602522007038942
1769011200,3.152065,3.156755,3.151335,3.15405,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1601904872640545
1769013000,3.15405,3.16128,3.15383,3.16126,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.160201129181825
1769014800,3.16126,3.16591,3.16017,3.164025,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1602391776476777
1769016600,3.164025,3.16423,3.162065,3.162185,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.160258539064119
1769018400,3.162185,3.16404,3.161265,3.16143,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1602701953918393
1769020200,3.16143,3.161955,3.16132,3.161345,3.175475,3.16144,3.1684574999999997,3.16680137,0,0,0,3.1602808899650547
1769022000,3.161345,3.16184,3.15877,3.16007,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.160278791557442
1769023800,3.16007,3.160095,3.146225,3.14655,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1601421866663233
1769025600,3.14655,3.15048,3.146315,3.15029,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1600441549582006
1769027400,3.15029,3.1509,3.146125,3.147005,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1599144121227956
1769029200,3.147005,3.147285,3.14521,3.145765,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1597736219524193
1769031000,3.145765,3.14908,3.145195,3.149065,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1596670685001564
1769032800,3.149065,3.157865,3.146125,3.15354,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1596061026444335
1769034600,3.15354,3.157635,3.152255,3.152255,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.159532957344489
1769036400,3.152255,3.15611,3.150885,3.1535,3.16591,3.151335,3.1586225,3.1569026499999997,0,0,0,3.1594729279181757
